,Index,Hotel,Location,Country,Region,Company,Score,Rank,Rooms,Hotel_type,Theme,Year,Century,2021_Rank,Past_rank,Rank_Year,Google_Rate,Google_Habs,Google_Location,Google_Service,Trip_Rate,Trip_Location,Trip_Cleanliness,Trip_Service,Trip_Value
43,32,Waldorf Astoria Los Cabos Pedregal,Cabo San Lucas,Mexico,Latin America,Hilton,97.45,31,115,Small,Coastal,2019,21,0.0,0.0,2022,4.8,0.0,0.0,0.0,5.0,4.9,4.9,4.9,4.5
44,33,The Oberoi Vanyavilas Wildlife Resort,Ranthambhore,India,Southeast Asia,The Oberoi Group,97.45,33,25,Small,Nature,2001,21,1.0,14.0,2022,4.7,4.2,4.3,4.7,5.0,4.9,5.0,5.0,4.7
45,115,The Oberoi Vanyavilas Wildlife Resort,Ranthambhore,India,Southeast Asia,The Oberoi Group,98.72,14,25,Small,Nature,2001,21,0.0,0.0,2021,4.7,4.2,4.3,4.7,5.0,4.9,5.0,5.0,4.7
46,34,Canaves Oia Epitome ,Santorini,Greece,Europe,Chaidemenos family,97.41,33,24,Small,Coastal,2018,21,1.0,24.0,2022,4.8,4.8,4.4,4.7,5.0,4.8,4.9,4.9,4.6
47,125,Canaves Oia Epitome ,Santorini,Greece,Europe,Yiannis and Anna Chaidemenos,98.44,24,24,Small,Coastal,2018,21,0.0,0.0,2021,4.8,4.8,4.4,4.7,5.0,4.8,4.9,4.9,4.6
48,35,The Standard ,Hua Hin,Thailand,Southeast Asia,Standard International,97.38,35,199,Medium,Beachfront,2021,21,0.0,0.0,2022,4.3,0.0,0.0,0.0,4.5,4.7,4.5,4.2,3.7
49,36,The Oberoi Amarvilas,Agra,India,Southeast Asia,The Oberoi Group,97.37,36,102,Small,Palace,2000,21,1.0,65.0,2022,4.7,4.8,4.7,4.5,5.0,5.0,4.9,4.8,4.4
50,166,The Oberoi Amarvilas,Agra,India,Southeast Asia,The Oberoi Group,97.44,65,102,Small,Palace,2000,21,0.0,0.0,2021,4.7,4.8,4.7,4.5,5.0,5.0,4.9,4.8,4.4
51,37,Hotel Santa Caterina,Amalfi,Italy,Europe,Gambardella family,97.33,37,66,Small,Coastal,1904,20,0.0,0.0,2022,4.7,4.2,4.8,4.1,4.5,4.5,4.7,4.6,4.3
52,38,Raffles Grand Hotel d'Angkor,Siem Reap,Cambodia,Southeast Asia,Lodgis Hospitality Holdings,97.33,37,119,Small,Palace,1932,20,0.0,0.0,2022,4.6,4.1,5.0,5.0,4.5,5.0,5.0,4.7,4.5
53,39,Nihi Sumba,Sumba,Indonesia,Southeast Asia,Christopher Burch,97.33,37,28,Small,Beachfront,2001,21,1.0,36.0,2022,4.7,4.9,5.0,4.3,5.0,4.9,4.9,4.9,4.7
54,137,Nihi Sumba,Sumba,Indonesia,Southeast Asia,Christopher Burch,98.0,36,28,Small,Coastal,2001,21,0.0,0.0,2021,4.7,4.9,5.0,4.3,5.0,4.9,4.9,4.9,4.7
55,40,La Réserve Paris,Paris,France,Europe,La Réserve Hotels,97.26,40,40,Small,Palace,1854,19,0.0,0.0,2022,4.7,4.7,4.9,4.7,5.0,4.8,5.0,4.9,4.6
56,41,Hotel de la Ville,Rome,Italy,Europe,Rocco Forte Hotels,97.17,41,104,Small,Palace,1921,20,0.0,0.0,2022,4.5,0.0,0.0,0.0,5.0,5.0,5.0,4.8,4.5
57,42,Il San Pietro di Positano,Positano,Italy,Europe,"Virginia Attanasio, Carlo and Vito Cinque",97.12,42,57,Small,Coastal,1970,20,0.0,0.0,2022,4.8,4.9,4.8,4.8,5.0,4.9,4.8,4.8,4.3
58,43,Six Senses Yao Noi,Koh Yao Noi,Thailand,Southeast Asia,InterContinental Hotels Group,97.07,43,56,Small,Beachfront,2007,21,0.0,0.0,2022,4.8,3.0,4.1,4.7,5.0,4.9,4.9,4.8,4.5
59,44,Finca Cortesin Hotel Golf & Spa,Málaga,Spain,Europe,Finca Cortesin,96.97,44,67,Small,Countryside,2009,21,1.0,100.0,2022,4.7,0.0,0.0,0.0,4.5,4.4,4.9,4.7,4.2
60,201,Finca Cortesin Hotel Golf & Spa,Málaga,Spain,Europe,Finca Cortesin,96.63,100,67,Small,Nature,2009,21,0.0,0.0,2021,4.7,0.0,0.0,0.0,4.5,4.4,4.9,4.7,4.2
61,45,Secret Bay,Portsmouth,Dominica,Caribbean,Gregor Nassief,96.97,45,10,Small,Coastal,2011,21,0.0,0.0,2022,4.7,4.1,4.3,3.8,5.0,4.9,5.0,5.0,4.8
62,46,Cape Grace,Cape Town,South Africa,Africa,Kasada Capital Management,96.96,46,120,Small,Palace,1996,20,0.0,0.0,2022,4.7,4.4,4.9,4.9,5.0,4.9,4.9,4.9,4.5
