,Index,Hotel,Location,Country,Region,Company,Score,Rank,Rooms,Hotel_type,Theme,Year,Century,2021_Rank,Past_rank,Rank_Year
95,96,andBeyond Ngorongoro Crater Lodge,Ngorongoro Conservation Area,Tanzania,Africa,andBeyond,95.8,96,30,Small,Safari,1996,20,0.0,0.0,2022
96,97,Casa San Agustín,Cartagena,Colombia,Latin America,Casa San Agustín,95.79,97,31,Small,Boutique ,1700,18,0.0,0.0,2022
97,98,The Connaught,London,England,Europe,Maybourne Hotel Group,95.79,97,121,Small,Contemporary ,1897,19,0.0,0.0,2022
98,99,Wentworth Mansion,Charleston,United States,North America,Richard Widman,95.78,99,21,Small,Manor,1886,19,0.0,0.0,2022
99,100,Taj Lands End,Mumbai,India,Southeast Asia,Indian Hotels Company Limited,95.73,100,488,Big,Contemporary ,1999,20,0.0,0.0,2022
100,101,Birkenhead House,Hermanus,South Africa,Africa,The Royal Portfolio,95.73,100,11,Small,Coastal,1952,20,0.0,0.0,2022
101,102,Mahali Mzuri,Masai Mara,Kenya,Africa,Virgin Limited Edition,99.73,1,12,Small,Safari,2013,21,0.0,0.0,2021
102,103,Nayara Tented Group,Arenal Volcano National Park,Costa Rica,Latin America,Nayara Resorts,99.58,2,29,Small,Nature,2019,21,0.0,0.0,2021
103,104,The Opposite House,Beijing,China,Asia,Swire Properties,99.47,3,99,Small,Contemporary ,2009,21,0.0,0.0,2021
104,105,Capella Bangkok,Bangkok,Thailand,Southeast Asia,Pontiac Land Group,99.38,4,101,Small,Contemporary ,2020,21,0.0,0.0,2021
105,106,Capella Ubud,Bali,Indonesia,Southeast Asia,Pontiac Land Group,99.34,5,23,Small,Nature,2018,21,0.0,0.0,2021
106,107,Grace Hotel,Santorini,Greece,Europe,Auberge Resorts Collection,99.18,6,139,Small,Coastal,2008,21,0.0,0.0,2021
107,108,Kamalame Cay,Andros Island,Bahamas,Caribbean,David and Michael King-Hew,99.14,7,22,Small,Island,1996,20,0.0,0.0,2021
108,109,The Oberoi Udaivilas,Udaipur,India,Southeast Asia,The Oberoi Group,99.12,8,87,Small,Palace,2007,21,0.0,0.0,2021
109,110,The Temple House,Chengdu,China,Asia,Swire Properties,98.94,9,142,Small,Contemporary ,2003,21,0.0,0.0,2021
110,111,The Oberoi New Delhi,New Delhi,India,Southeast Asia,The Oberoi Group,98.9,10,220,Medium,Contemporary ,1965,20,0.0,0.0,2021
111,112,Hotel Paracas,Paracas,Peru,Latin America,Marriott International,98.77,11,120,Small,Coastal,1944,20,0.0,0.0,2021
112,113,Taj Holiday Village Resort & Spa,Goa,India,Southeast Asia,India Hotels Company Limited,98.76,12,142,Small,Coastal,1978,20,0.0,0.0,2021
113,114,"Savute Elephant Lodge, A Belmond Safari",Chobe National Park,Botswana,Africa,LVMH,98.75,13,12,Small,Safari,1992,20,0.0,0.0,2021
114,115,The Oberoi Vanyavilas Wildlife Resort,Ranthambhore,India,Southeast Asia,The Oberoi Group,98.72,14,25,Small,Nature,2001,21,0.0,0.0,2021
115,116,Mandarin Oriental Milan,Milan,Italy,Europe,Jardine Matheson,98.67,15,104,Small,Contemporary ,2015,21,0.0,0.0,2021
116,117,La Reserve Paris,Paris,France,Europe,Michel Reybier Hospitality Group,98.6,16,40,Small,Contemporary ,2015,21,0.0,0.0,2021
117,118,Nobu Ryokan,Malibu,United States,North America," Chef Nobu, Robert De Niro, Meir Teper and Larry Ellison",98.59,17,16,Small,Coastal,2017,21,0.0,0.0,2021
118,119,Soneva Fushi,Baa Atoll,Maldives,Southeast Asia,Soneva,98.59,17,64,Small,Island,1995,20,0.0,0.0,2021
119,120,Shangri-La the Shard,London,England,Europe,Kerry Properties,98.57,19,202,Medium,Contemporary ,2014,21,0.0,0.0,2021
120,121,Alila Manggis,Bali,Indonesia,Southeast Asia,Hyatt,98.5,20,55,Small,Nature,2014,21,0.0,0.0,2021
121,122,Phinda Vlei Lodge,KwaZulu Natal,South Africa,Africa,andBeyond,98.5,20,6,Small,Safari,1996,20,0.0,0.0,2021
122,123,Il Sereno Lago di Como,Torno,Italy,Europe,Sereno Hotels,98.5,20,40,Small,Coastal,2016,21,0.0,0.0,2021
123,124,Manoir Hovey,North Hatley,Canada,North America,Relais & Châteaux ,98.48,23,36,Small,Coastal,1900,20,0.0,0.0,2021
124,125,Canaves Oia Epitome ,Santorini,Greece,Europe,Yiannis and Anna Chaidemenos,98.44,24,24,Small,Coastal,2018,21,0.0,0.0,2021
125,126,Istanbul At Sultanahmet,Istanbul,Turkey,Middle East,Four Seasons,98.4,25,65,Small,Palace,1996,20,0.0,0.0,2021
126,127,The Peninsula Manila,Manila,Philippines,Southeast Asia,Hongkong and Shanghai Hotels Ltd.,98.4,25,469,Big,Palace,1976,20,0.0,0.0,2021
127,128,Hotel Il Pellicano,Porto Ercole,Italy,Europe,The Leading Hotels of the World Ltd.,98.32,27,47,Small,Coastal,1965,20,0.0,0.0,2021
128,129,Hotel Fasano Boa Vista,Porto Feliz,Brazil ,Latin America,The Leading Hotels of the World Ltd.,98.25,28,39,Small,Nature,2003,21,0.0,0.0,2021
129,130,Halekulani Okinawa,Okinawa,Japan,Asia,Mitsui Fudosan Group,98.21,29,360,Big,Coastal,2019,21,0.0,0.0,2021
130,131,The Lake House on Canandaigua,New York,United States,North America,The Sands Family,98.14,30,124,Small,Nature,1962,20,0.0,0.0,2021
131,132,Hyatt Regency Amritsar,Amritsar,India,Southeast Asia,Hyatt,98.14,31,248,Medium,Contemporary ,2008,21,0.0,0.0,2021
132,133,Leela Palace Udaipur,Udaipur,India,Southeast Asia,Brookfield Asset Management,98.13,32,80,Small,Palace,2009,21,0.0,0.0,2021
133,134,Nayara Gardens,Arenal Volcano National Park,Costa Rica,Latin America,Nayara Resorts,98.13,33,50,Small,Nature,2007,21,0.0,0.0,2021
134,135,Pickering House Inn,Wolfeboro,United States,North America,Peter and Patty Cooke ,98.11,34,10,Small,Contemporary ,2018,21,0.0,0.0,2021
135,136,Rancho Valencia Resort & Spa,San Diego,United States,North America,Jacobs Family,98.03,35,49,Small,Nature,1989,20,0.0,0.0,2021
136,137,Nihi Sumba,Sumba,Indonesia,Southeast Asia,Christopher Burch,98.0,36,28,Small,Coastal,2001,21,0.0,0.0,2021
137,138,The Oberoi Mumbai,Mumbai,India,Southeast Asia,The Oberoi Group,98.0,36,337,Big,Contemporary ,2004,21,0.0,0.0,2021
138,139,Tierra Atacama Hotel & Spa,San Pedro de Atacama,Chile,Latin America,Tierra Hotels,98.0,36,32,Small,Nature,2011,21,0.0,0.0,2021
139,140,Viceroy Riviera Maya,Playa del Carmen,Mexico,Latin America,Viceroy Hotel Group ,97.92,39,41,Small,Coastal,2006,21,0.0,0.0,2021
140,141,St. Regis Istanbul,Istanbul,Turkey,Middle East,Marriott International,97.89,40,118,Small,Contemporary ,2015,21,0.0,0.0,2021
141,142,Katikies Mykonos,Mikonos ,Greece,Europe,Nikos Pagonis,97.87,41,36,Small,Coastal,2018,21,0.0,0.0,2021
142,143,The Lanesborough,London,England,Europe,Oetker Collection,97.87,41,93,Small,Palace,1991,20,0.0,0.0,2021
143,144,Mandarin Oriental Bangkok,Bangkok,Thailand,Southeast Asia,Jardine Matheson,97.87,41,331,Big,Contemporary ,1876,19,0.0,0.0,2021
144,145,The Roundtree,Amagansett,United States,North America,Sylvia Wong,97.87,41,10,Small,Nature,2020,21,0.0,0.0,2021
145,146,Mashpi Lodge,Quito,Ecuador,Latin America,Roque Sevilla,97.76,45,24,Small,Nature,2012,21,0.0,0.0,2021
146,147,Angama Mara,Mara Triangle,Kenya,Africa,Nicky and Steve Fitzgerald ,97.73,46,4,Small,Safari,2015,21,0.0,0.0,2021
147,148,Raffles Istanbul,Istanbul,Turkey,Middle East,Accor,97.72,47,136,Small,Contemporary ,2014,21,0.0,0.0,2021
148,149,Grand Hotel Excelsior Vittoria,Sorrento,Italy,Europe,Guido Fiorentino,97.71,48,79,Small,Coastal,1834,19,0.0,0.0,2021
